Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,2-Jan-17,25-Jan-17,PE,9500,1285,1333.8,1280,1291.8,1293.1,1291.8,53,429.32,51.7,302550,-375,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9550,0,0,0,813.5,0,1331.9,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7450,7,7.8,6,6.5,6.5,6.5,7,39.15,0.04,600,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7500,8.5,10.35,7.4,8.4,8.25,8.4,31987,180150.33,223.46,2493825,501225,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7550,9.8,11.7,7.15,9.7,10.05,9.7,62,351.52,0.45,10950,300,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7600,12.85,18.85,10.35,12.1,11.85,12.1,24459,139661.74,245.44,2130750,-24450,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7650,14.1,18,12.75,14.3,14,14.3,194,1115.35,2.27,15375,5025,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7700,18.35,22.55,15.6,17.65,17.15,17.65,34655,200640.29,507.67,2373450,-90900,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7750,20.2,26.75,18.55,21.1,19.55,21.1,935,5450.75,16.06,107700,9375,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7800,27.75,33.4,22,26.3,24.75,26.3,53055,311510.46,1138.71,3569175,388125,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7850,30.35,40.25,28.25,32,31.1,32,922,5452.05,23.77,48375,-2100,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7900,39.25,49.2,34.15,39,38.55,39,69479,413865.46,2202.38,4349100,321825,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7950,55.1,58.5,41.1,46.55,46.35,46.55,1747,10482.87,66.38,96975,5925,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8000,64,71,49,57.15,56.55,57.15,100721,608966.53,4640.53,5799300,36825,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8050,57.25,84.25,57.25,68.4,67.9,68.4,3288,20032.91,181.61,182700,14850,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8100,90.9,101,70,82.45,82.65,82.45,119922,736441.31,7915.16,3692550,290025,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8150,92.05,122.5,82.35,99.1,98,99.1,6383,39524.68,508.59,162975,31125,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8200,114.25,143.4,104.75,119.25,120,119.25,73872,461286.7,6973.9,2376900,87525,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8250,140.6,168.5,127.2,141.2,141.35,141.2,787,4956.34,86.77,38325,12150,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8300,161.65,200,153.05,170.3,170.05,170.3,11049,70267.36,1487.34,815325,-64275,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8350,204.8,227.6,184.6,201.45,201.5,201.45,98,628.61,14.89,6150,-1200,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8400,232,270.6,216.75,236,238.95,236,4684,30352.92,843.72,1022925,-49200,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8450,288.35,288.35,279.95,279.95,279.95,279.95,2,13.1,0.43,750,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8500,305.75,355,295.95,317.9,320.6,317.9,2963,19604.57,715.44,969600,-88350,8179.5
